date,Kaliningrad-pm2.5-AQI,Kaliningrad-pm10-AQI,Veldhoven-pm2.5-AQI,Veldhoven-pm10-AQI
2020-04-24,62.0,7.0,59.0,15.0
2020-04-25,26.0,7.0,28.0,17.0
2020-04-26,29.0,15.0,39.0,21.0
2020-04-27,53.0,28.0,50.0,42.0
2020-04-28,85.0,5.0,89.0,9.0
2020-04-29,20.0,12.0,29.0,9.0
2020-04-30,46.0,24.0,11.0,7.0
2020-05-01,78.0,25.0,14.0,11.0
2020-05-02,78.0,23.0,23.0,13.0
2020-05-03,71.0,20.0,46.0,12.0
2020-05-04,64.0,19.0,38.0,11.0
2020-05-05,67.0,10.0,27.0,14.0
2020-05-06,39.0,9.0,40.0,18.0
2020-05-07,33.0,18.0,56.0,21.0
2020-05-08,62.0,30.0,64.0,22.0
2020-05-09,92.0,26.0,60.0,28.0
2020-05-10,72.0,12.0,65.0,14.0
2020-05-11,45.0,5.0,16.0,13.0
2020-05-12,18.0,11.0,30.0,11.0
2020-05-13,40.0,27.0,29.0,11.0
2020-05-14,68.0,8.0,25.0,10.0
2020-05-15,31.0,8.0,22.0,15.0
2020-05-16,30.0,6.0,41.0,16.0
2020-05-17,25.0,6.0,47.0,16.0
2020-05-18,25.0,10.0,39.0,14.0
2020-05-19,38.0,4.0,31.0,12.0
2020-05-20,17.0,5.0,33.0,20.0
2020-05-21,22.0,9.0,44.0,19.0
2020-05-22,33.0,22.0,36.0,23.0
2020-05-23,69.0,14.0,31.0,18.0
2020-05-24,48.0,10.0,31.0,13.0
2020-05-25,37.0,11.0,36.0,16.0
2020-05-26,45.0,11.0,40.0,23.0
2020-05-27,44.0,9.0,49.0,10.0
2020-05-28,34.0,2.0,25.0,15.0
2020-05-29,8.0,3.0,29.0,12.0
2020-05-30,13.0,2.0,26.0,10.0
2020-05-31,9.0,3.0,21.0,11.0
2020-06-01,10.0,4.0,25.0,21.0
2020-06-02,17.0,8.0,34.0,27.0
2020-06-03,31.0,8.0,56.0,14.0
2020-06-04,34.0,10.0,25.0,9.0
2020-06-05,42.0,12.0,14.0,10.0
2020-06-06,45.0,11.0,19.0,8.0
2020-06-07,46.0,14.0,22.0,8.0
2020-06-08,48.0,11.0,29.0,14.0
2020-06-09,42.0,22.0,36.0,19.0
2020-06-10,73.0,23.0,49.0,21.0
2020-06-11,77.0,21.0,55.0,20.0
2020-06-12,72.0,12.0,40.0,12.0
2020-06-13,48.0,5.0,18.0,17.0
2020-06-14,22.0,6.0,32.0,11.0
2020-06-15,26.0,10.0,40.0,26.0
2020-06-16,39.0,13.0,57.0,22.0
2020-06-17,49.0,12.0,52.0,11.0
2020-06-18,48.0,17.0,23.0,12.0
2020-06-19,62.0,21.0,18.0,14.0
2020-06-20,68.0,15.0,38.0,15.0
2020-06-21,58.0,19.0,41.0,14.0
2020-06-22,65.0,12.0,35.0,18.0
2020-06-23,48.0,10.0,50.0,23.0
2020-06-24,40.0,11.0,48.0,17.0
2020-06-25,48.0,15.0,39.0,20.0
2020-06-26,57.0,16.0,38.0,16.0
2020-06-27,60.0,19.0,31.0,11.0
2020-06-28,67.0,19.0,13.0,14.0
2020-06-29,66.0,10.0,19.0,13.0
2020-06-30,37.0,10.0,12.0,7.0
2020-07-01,39.0,9.0,10.0,9.0
2020-07-02,38.0,11.0,16.0,12.0
2020-07-03,44.0,8.0,24.0,8.0
2020-07-04,35.0,10.0,16.0,7.0
2020-07-05,41.0,6.0,7.0,14.0
2020-07-06,22.0,5.0,19.0,10.0
2020-07-07,18.0,5.0,22.0,9.0
2020-07-08,17.0,4.0,15.0,8.0
2020-07-09,17.0,12.0,10.0,8.0
2020-07-10,48.0,5.0,10.0,11.0
2020-07-11,20.0,5.0,26.0,9.0
2020-07-12,17.0,5.0,24.0,10.0
2020-07-13,19.0,9.0,25.0,14.0
2020-07-14,36.0,12.0,45.0,9.0
2020-07-16,53.0,11.0,15.0,13.0
2020-07-17,44.0,11.0,29.0,16.0
2020-07-18,44.0,13.0,41.0,15.0
2020-07-19,49.0,15.0,35.0,9.0
2020-07-20,58.0,5.0,14.0,10.0
2020-07-21,20.0,2.0,17.0,11.0
2020-07-22,8.0,1.0,13.0,13.0
